Date,close,open,high,low,volume,pct_chg,swing,oi,chn_nonferrous,sha_ind,sp500_ind,djind_ind,nasd_ind,spcha_ind,djglo+ind,hs_ind,eu100_ind,spal_ind,shfeal_ind
2018-01-31,2209.5,2222.0,2232.0,2208.5,12061.0,-0.652,1.0567,4710.0,3192.02,3645.8,2823.81,26149.39,7411.48,6024.69,418.73,32887.27,1063.0,62.7,14509.85
2018-02-01,2232.0,2212.0,2235.0,2188.5,14084.0,1.0183,2.1045,3893.0,3179.66,3610.51,2821.98,26186.71,7385.86,5897.22,418.55,32642.09,1059.27,62.85,14396.7
2018-02-02,2214.5,2230.5,2235.0,2206.0,9772.0,-0.7841,1.2993,4307.0,3211.21,3626.27,2762.13,25520.96,7240.95,5921.89,411.09,32601.78,1043.52,62.41,14451.72
2018-02-05,2207.0,2214.0,2215.0,2192.0,10541.0,-0.3387,1.0386,3590.0,3184.62,3652.98,2648.94,24345.75,6967.53,5827.88,399.19,32245.22,1027.73,62.44,14383.69
2018-02-06,2170.0,2201.5,2202.0,2170.0,18025.0,-1.6765,1.4499,4226.0,3163.89,3530.57,2695.14,24912.77,7115.88,5631.38,396.49,30595.42,1001.65,61.26,14212.01
2018-02-07,2160.5,2177.5,2210.0,2152.0,21624.0,-0.4378,2.6728,8022.0,3167.26,3466.13,2681.66,24893.35,7051.98,5522.72,396.86,30323.2,1021.67,60.98,14277.23
2018-02-08,2169.5,2160.0,2176.0,2148.0,14771.0,0.4166,1.296,10373.0,3127.54,3416.57,2581.0,23860.46,6777.16,5558.9,387.67,30451.27,1001.17,61.36,14285.62
2018-02-09,2121.5,2165.0,2172.5,2121.0,22914.0,-2.2125,2.3738,5089.0,3096.47,3278.01,2619.55,24190.9,6874.49,5374.49,387.54,29507.42,987.55,60.04,14269.32
2018-02-12,2133.0,2127.5,2152.0,2117.0,14694.0,0.5421,1.6498,3232.0,3105.08,3303.37,2656.0,24601.27,6981.96,5538.97,391.97,29459.63,998.78,60.1,14420.62
2018-02-13,2139.5,2128.5,2151.0,2123.0,15537.0,0.3047,1.3127,5083.0,3128.13,3335.69,2662.94,24640.45,7013.51,5574.79,393.16,29839.53,992.55,60.43,14400.33
2018-02-14,2187.5,2133.5,2201.0,2112.5,26136.0,2.2435,4.1365,9761.0,3169.71,3350.57,2698.63,24893.49,7143.62,5640.04,398.12,30515.6,1001.69,61.53,14139.13
2018-02-22,2185.5,2200.0,2200.0,2161.0,13740.0,-0.9966,1.7667,3905.0,3159.38,3423.37,2703.96,24962.48,7210.09,5781.58,400.87,30965.68,1024.02,61.81,14161.23
2018-02-23,2147.5,2184.5,2196.0,2141.0,14334.0,-1.7387,2.5166,5332.0,3205.83,3444.83,2747.3,25309.99,7337.39,5770.72,405.31,31267.17,1026.71,60.49,14399.72
2018-02-26,2139.0,2150.0,2169.5,2137.0,13348.0,-0.3958,1.5134,4339.0,3210.31,3487.35,2779.6,25709.27,7421.46,5843.85,408.45,31498.6,1032.99,60.42,14326.82
2018-02-27,2148.0,2143.5,2159.5,2136.5,12469.0,0.4208,1.0753,3623.0,3207.94,3448.03,2744.28,25410.03,7330.35,5733.66,405.01,31268.66,1032.08,60.67,14328.01
2018-02-28,2131.5,2147.5,2153.5,2129.0,16752.0,-0.7682,1.1406,4128.0,3173.87,3413.74,2713.83,25029.2,7273.01,5706.75,400.71,30844.72,1028.34,60.3,14375.61
2018-03-01,2148.0,2131.0,2164.5,2118.0,20337.0,0.7741,2.1816,5744.0,3162.55,3428.77,2677.67,24608.98,7180.56,5752.57,396.12,31044.25,1018.44,60.71,14424.15
2018-03-02,2148.5,2152.0,2162.0,2137.0,10565.0,0.0233,1.1639,5367.0,3145.99,3408.6,2691.25,24538.06,7257.87,5725.3,395.8,30583.45,998.18,60.75,14382.25
2018-03-05,2146.5,2153.0,2158.0,2134.5,11785.0,-0.0931,1.0938,4837.0,3118.13,3411.18,2720.94,24874.76,7330.71,5680.81,398.1,29886.39,1006.27,60.63,14260.23
